,Batter,xwOBA,xBA,xSLG
48,Juan Kelly,0.3798570930957794,0.33750998973846436,0.5549788260832429
49,Steve Brown,0.353270947933197,0.31785255670547485,0.5108060408383608
50,Rodrigo Orozco,0.33098113536834717,0.3140838146209717,0.45684582088142633
51,Ricardo Sanchez,0.3013809621334076,0.2797836661338806,0.424632515758276
52,Dalton Combs,0.3318948447704315,0.3218005895614624,0.4490095004439354
53,Austin Markmann,0.3604148030281067,0.3249701261520386,0.5201636487618089
54,Noah Myers,0.38771554827690125,0.34675925970077515,0.5637187799438834
55,Gabe Holt,0.36133134365081787,0.3585638403892517,0.4774655746296048
56,Clint Freeman,0.3349185585975647,0.3043460249900818,0.4804670959711075
57,Andrew Penner,0.3316332697868347,0.3257492780685425,0.4430114980787039
58,D.j. Stewart,0.3215787708759308,0.29803431034088135,0.45382513757795095
59,Alex Hernandez,0.26710617542266846,0.26593226194381714,0.35198536794632673
60,Abdiel Diaz,0.30855655670166016,0.30435872077941895,0.4105289848521352
61,Eric Rivera,0.31130900979042053,0.3117302656173706,0.4078816846013069
62,Peter Zimmermann,0.4014846384525299,0.3534151315689087,0.590995124541223
63,Jairus Richards,0.39432331919670105,0.36138010025024414,0.5611980156973004
64,Mark Vierling,0.30270126461982727,0.2955567240715027,0.4069801652804017
65,Matt Feinstein,0.2908119857311249,0.28749918937683105,0.3861644873395562
66,Matthew Warkentin,0.4907649755477905,0.38320744037628174,0.7867995416745543
67,Gj Hill,0.39433950185775757,0.3336718678474426,0.5987430745735765
68,Matt Mcgarry,0.3098316788673401,0.284881055355072,0.4402082711458206
69,Marc-antoine Lebreux,0.3814421594142914,0.3411768674850464,0.5541736520826817
70,David Glaude,0.29408231377601624,0.266681969165802,0.42291296925395727
71,Juremi Profar,0.3402154743671417,0.310558557510376,0.4863388892263174
72,Justin Gideon,0.36079147458076477,0.30076515674591064,0.5535018099471927
73,Bryan Leef,0.4137823283672333,0.3273698687553406,0.6574392030015588
74,Kyle Crowl,0.3634541630744934,0.288274347782135,0.5774533338844776
75,Tj White,0.3384270966053009,0.2882651686668396,0.5113380886614323
76,Ruben Castro,0.40897390246391296,0.378420352935791,0.5782488929107785
77,Gaige Howard,0.34044602513313293,0.32406049966812134,0.46851933002471924
78,Zach Huffins,0.3233497440814972,0.307123601436615,0.4457683227956295
79,Alec Craig,0.27957382798194885,0.269883394241333,0.3801605422049761
80,Blake Berry,0.3284439146518707,0.32214033603668213,0.43933509290218353
81,Chase Dawson,0.3026886582374573,0.2928190231323242,0.41071431152522564
82,Blake Grant-parks,0.3687719404697418,0.34497106075286865,0.5156206032261252
83,Will Prater,0.2997937500476837,0.3031667470932007,0.3885191073641181
84,Edwin Mateo,0.33044031262397766,0.3215640187263489,0.4456780292093754
85,Gavin Stupienski,0.34818175435066223,0.31050407886505127,0.507600624114275
86,Oraj Anu,0.4009687602519989,0.3411100506782532,0.606125139631331
87,Juan Santana,0.3557041585445404,0.32717061042785645,0.5052382303401828
88,Will Zimmerman,0.278893381357193,0.25255852937698364,0.401677880436182
89,Willie Escala,0.3244837522506714,0.32076746225357056,0.43020189460366964
90,Anthony Gomez,0.26263874769210815,0.26120680570602417,0.3463970059528947
91,Jakob Goldfarb,0.3834185302257538,0.3036535978317261,0.6095663784071803
92,Ian Walters,0.35249361395835876,0.30034339427948,0.5326890395954251
93,Malik Williams,0.3671395480632782,0.324043869972229,0.5399749111384153
94,Santiago Chirino,0.33221352100372314,0.33679431676864624,0.42910581827163696
95,Brendon Dadson,0.38812148571014404,0.3383677005767822,0.5762562695890665
96,Jack Harris,0.36882951855659485,0.3196132183074951,0.5497484002262354
97,Kenen Irizarry,0.3114749491214752,0.30347609519958496,0.4195828689262271
98,Victor Cerny,0.3486161530017853,0.3483424186706543,0.4574418468400836
99,Willie Estrada,0.311514288187027,0.275951623916626,0.4565130565315485
100,Sean Cheely,0.283712238073349,0.27654212713241577,0.3820262961089611
101,Jiandido Tromp,0.33735042810440063,0.324557363986969,0.4595864126458764
102,James Nelson,0.4696788191795349,0.4115825295448303,0.6934078522026539
103,Alfredo Marte,0.39045214653015137,0.3484923243522644,0.568848118185997
104,Josh Rehwaldt,0.42900988459587097,0.3443647623062134,0.6753570670261979
105,Austin Dennis,0.3087032735347748,0.30752819776535034,0.40657468140125275
106,Austin Davis,0.33347511291503906,0.3374757170677185,0.43169577326625586
107,Evan Berkley,0.33556148409843445,0.3251161575317383,0.45459245797246695
108,Brett Milazzo,0.30416926741600037,0.2969943881034851,0.4085138412192464
109,Kyle Fitzgerald,0.2990947961807251,0.2726537585258484,0.42805203422904015
110,Johnny Hipsman,0.3542705774307251,0.3476356267929077,0.47330231219530106
111,Jawuan Harris,0.30773234367370605,0.2726876735687256,0.45066654589027166
112,Anthony Brocato,0.38170191645622253,0.2949718236923218,0.616532632149756
113,Jaylen Smith,0.2968865931034088,0.28409045934677124,0.4063631212338805
114,Tristin Garcia,0.3403385877609253,0.3434690237045288,0.4421453457325697
115,Jeremiah Burks,0.30396196246147156,0.28784722089767456,0.4206346720457077
116,Phillip Steering,0.31459078192710876,0.2927319407463074,0.4425047468394041
117,Alex Toral,0.388141930103302,0.3169877529144287,0.6041956031695008
118,Jackie Urbaez,0.319257915019989,0.2930908799171448,0.4541136836633086
119,Travis Holt,0.28107354044914246,0.26912426948547363,0.38529524579644203
120,Jc Santini,0.2579514980316162,0.23267894983291626,0.3727686982601881
121,Tristan Peterson,0.3088754415512085,0.2719895839691162,0.45508861169219017
122,Melvin Novoa,0.3518930673599243,0.3226497173309326,0.5010790582746267
123,Scotty Dubrule,0.3446337878704071,0.3442853093147278,0.45268138963729143
124,Marcos Castillo,0.3158246874809265,0.31086820363998413,0.4207793064415455
125,John Tuccillo,0.31225377321243286,0.3076619505882263,0.41611110232770443
126,Jonathan Lacroix,0.24484175443649292,0.22765576839447021,0.34494491573423147
127,Jason Agresti,0.3785724341869354,0.34399640560150146,0.5433454718440771
128,Jr Disarcina,0.27485397458076477,0.2675834894180298,0.3704243488609791
129,Troy Viola,0.3281265199184418,0.3051454424858093,0.46154270973056555
130,Tyler Depreta-johnson,0.2568800747394562,0.25483542680740356,0.34001644887030125
131,Liam Mcarthur,0.35668107867240906,0.36192643642425537,0.4605080056935549
132,Jordan Scott,0.32720550894737244,0.30888622999191284,0.4535903465002775
133,Robert Chayka,0.2950890362262726,0.27889329195022583,0.408917386084795
134,Wagner Lagrange,0.33636677265167236,0.30195021629333496,0.4877613466233015
135,Andrew Czech,0.3898738920688629,0.3001564145088196,0.6307725803926587
136,Luis Atiles,0.2958553433418274,0.2847962975502014,0.40310292690992355
137,Christian Fedko,0.26824793219566345,0.2601654529571533,0.36297225300222635
138,Lane Baremore,0.32738539576530457,0.3182463049888611,0.4417662750929594
139,Paul Coumoulous,0.28835824131965637,0.28366702795028687,0.3847082955762744
140,Nick Gotta,0.2985576093196869,0.2920941710472107,0.40031962376087904
141,Todd Isaacs jr.,0.31991544365882874,0.2948712110519409,0.4532188642770052
142,Jarrod Watking,0.2914629876613617,0.2799912095069885,0.39796921238303185
143,Kemuel Thomas-rivero,0.3347143828868866,0.269770085811615,0.5262782853096724
144,Josh Rego,0.3331240713596344,0.315682590007782,0.46024116687476635
145,Zach Racusin,0.2773321568965912,0.2686363458633423,0.3756230566650629
146,Will Riley,0.273902952671051,0.2641041874885559,0.37263158429414034
147,Lane Hoover,0.335828572511673,0.343914270401001,0.42915107775479555
148,Ed Johnson,0.29361972212791443,0.2933955788612366,0.38554263301193714
